Mutation,TP,FP,FN,TN
8:114261806-114261806,0,4,10,24
10:58832869-58832869,0,4,10,24
10:2138661-2138661,0,3,10,25
10:129567262-129567262,0,3,10,25
3:162760430-162760430,0,4,10,24
3:76445688-76445688,0,3,10,25
11:450124-450124,0,3,10,25
10:26904978-26904978,0,3,10,25
19:35817178-35817178,0,4,10,24
2:170957632-170957632,1,2,9,26
10:3832496-3832496,0,3,10,25
4:56114683-56114683,0,3,10,25
2:58042655-58042655,0,4,10,24
10:22745767-22745767,0,3,10,25
21:23201552-23201552,0,3,10,25
10:13299768-13299768,0,3,10,25
8:89797276-89797276,0,3,10,25
9:124206300-124206300,0,3,10,25
2:145487818-145487818,0,4,10,24
10:38575885-38575885,0,3,10,25
13:107892759-107892759,0,3,10,25
7:85668824-85668824,0,4,10,24
6:95928874-95928874,0,4,10,24
4:122643490-122643490,0,3,10,25
14:104754510-104754510,0,3,10,25
3:103308914-103308914,0,3,10,25
3:98103155-98103155,0,3,10,25
18:24223249-24223249,0,3,10,25
11:11966433-11966433,0,3,10,25
12:131642182-131642182,0,3,10,25
4:70001997-70001997,1,2,9,26
2:209261130-209261130,1,2,9,26
3:44267311-44267311,0,4,10,24
11:47914148-47914148,0,3,10,25
5:180009461-180009461,3,0,7,28
18:51297398-51297398,0,3,10,25
6:81315226-81315226,0,3,10,25
5:177227631-177227631,0,3,10,25
9:105370882-105370882,0,3,10,25
14:78623431-78623431,0,4,10,24
17:69642077-69642077,0,4,10,24
2:7539101-7539101,0,4,10,24
8:95687113-95687113,0,3,10,25
5:97628620-97628620,0,3,10,25
X:90392775-90392775,0,3,10,25
3:36848222-36848222,0,3,10,25
11:134318905-134318905,0,3,10,25
X:18727978-18727978,0,3,10,25
15:20467929-20467929,0,3,10,25
11:42640835-42640835,0,3,10,25
16:24418191-24418191,0,4,10,24
5:4386542-4386542,0,3,10,25
6:142164720-142164720,0,3,10,25
X:9274097-9274097,0,4,10,24
1:189784704-189784704,0,3,10,25
7:95063438-95063438,0,3,10,25
X:127435452-127435452,0,3,10,25
12:1959943-1959943,0,3,10,25
6:164897415-164897415,0,3,10,25
19:41316922-41316922,0,4,10,24
12:130466315-130466315,0,4,10,24
5:19912277-19912277,0,4,10,24
12:124400482-124400482,0,4,10,24
2:240384975-240384975,0,4,10,24
2:66290283-66290283,0,4,10,24
1:28258696-28258696,0,4,10,24
6:99275354-99275354,0,3,10,25
5:12169547-12169547,0,4,10,24
7:146663853-146663853,0,3,10,25
12:4519643-4519643,0,3,10,25
21:29472074-29472074,3,0,7,28
11:55153335-55153335,0,4,10,24
7:146958573-146958573,0,4,10,24
10:111413276-111413276,0,3,10,25
3:44714877-44714877,1,2,9,26
20:35810916-35810916,0,4,10,24
3:184890599-184890599,0,3,10,25
9:119554989-119554989,0,3,10,25
2:56117715-56117715,0,4,10,24
18:19920258-19920258,0,3,10,25
16:52067554-52067554,0,4,10,24
7:152510698-152510698,3,0,7,28
14:34859067-34859067,0,4,10,24
12:43394789-43394789,0,4,10,24
19:9589632-9589632,0,3,10,25
1:245757538-245757538,2,4,8,24
7:7379268-7379268,0,3,10,25
9:89399157-89399157,0,3,10,25
10:68174574-68174574,0,3,10,25
8:63053606-63053606,0,3,10,25
20:53589713-53589713,0,3,10,25
18:735542-735542,0,3,10,25
4:142181192-142181192,0,3,10,25
8:108022416-108022416,0,4,10,24
22:35245796-35245796,0,4,10,24
17:49409459-49409459,0,3,10,25
2:80491755-80491755,0,3,10,25
2:13411737-13411737,0,7,10,21
20:19756078-19756078,0,3,10,25
7:82907147-82907147,0,3,10,25
2:228309307-228309307,0,4,10,24
4:103388212-103388212,0,4,10,24
19:54458172-54458172,0,3,10,25
7:119033241-119033241,0,3,10,25
X:131815925-131815925,0,3,10,25
1:207042480-207042480,0,3,10,25
4:52830958-52830958,2,4,8,24
18:51600820-51600820,0,4,10,24
3:184193306-184193306,0,3,10,25
5:86107887-86107887,0,4,10,24
2:34824972-34824972,0,3,10,25
9:32194257-32194257,0,3,10,25
9:1092972-1092972,0,3,10,25
2:214076016-214076016,0,3,10,25
2:223298740-223298740,0,3,10,25
14:86198855-86198855,1,4,9,24
3:36889382-36889382,0,3,10,25
5:174734748-174734748,0,4,10,24
20:56489313-56489313,0,3,10,25
12:11249189-11249189,0,4,10,24
17:57953945-57953945,0,4,10,24
15:43163278-43163278,0,4,10,24
3:40692178-40692178,0,3,10,25
1:96462702-96462702,0,3,10,25
2:112090137-112090137,0,3,10,25
8:12054576-12054576,3,0,7,28
18:70729618-70729618,0,3,10,25
1:148517794-148517794,3,0,7,28
3:105903607-105903607,0,3,10,25
10:81334991-81334991,1,2,9,26
2:119910685-119910685,0,3,10,25
7:110682239-110682239,0,4,10,24
6:98590763-98590763,0,3,10,25
8:64239573-64239573,0,3,10,25
14:76958551-76958551,0,3,10,25
2:185078940-185078940,0,4,10,24
X:70439785-70439785,0,3,10,25
3:144483708-144483708,0,3,10,25
1:47293559-47293559,0,3,10,25
11:80477064-80477064,0,4,10,24
5:20395391-20395391,0,3,10,25
8:4231749-4231749,0,4,10,24
2:35780264-35780264,0,3,10,25
2:82410132-82410132,0,3,10,25
5:26288395-26288395,1,4,9,24
1:47408372-47408372,0,3,10,25
21:35449772-35449772,0,3,10,25
20:57784604-57784604,0,3,10,25
2:75608778-75608778,0,3,10,25
1:169860808-169860808,0,3,10,25
1:194748066-194748066,0,3,10,25
7:21697476-21697476,0,3,10,25
5:128359716-128359716,0,4,10,24
1:228120477-228120477,0,3,10,25
22:24600135-24600135,0,3,10,25
13:29508318-29508318,0,4,10,24
6:157429508-157429508,0,3,10,25
8:96839554-96839554,0,3,10,25
7:152762553-152762553,0,3,10,25
2:236355338-236355338,0,3,10,25
18:52248572-52248572,0,4,10,24
X:108214702-108214702,0,3,10,25
14:25515017-25515017,0,3,10,25
1:72618209-72618209,0,3,10,25
6:78805267-78805267,0,4,10,24
2:212553451-212553451,0,3,10,25
7:128452414-128452414,0,3,10,25
10:29625316-29625316,0,4,10,24
10:59429723-59429723,0,3,10,25
19:33421757-33421757,0,4,10,24
2:152965879-152965879,0,3,10,25
1:149417480-149417480,3,0,7,28
8:34712594-34712594,0,4,10,24
9:120291019-120291019,0,3,10,25
1:119160443-119160443,0,3,10,25
1:243245872-243245872,1,4,9,24
10:62112252-62112252,0,3,10,25
1:194746528-194746528,0,4,10,24
3:116845856-116845856,0,3,10,25
4:112771246-112771246,0,3,10,25
9:70968227-70968227,3,0,7,28
4:60917964-60917964,0,3,10,25
14:63350740-63350740,0,4,10,24
16:3363518-3363518,0,3,10,25
10:84880902-84880902,0,4,10,24
17:37394543-37394543,0,3,10,25
4:33014620-33014620,0,3,10,25
15:53665774-53665774,0,4,10,24
19:22950650-22950650,0,4,10,24
3:143279060-143279060,0,3,10,25
8:49121829-49121829,0,3,10,25
8:109366423-109366423,0,3,10,25
10:38460734-38460734,0,4,10,24
10:19375056-19375056,0,4,10,24
5:164948847-164948847,0,4,10,24
8:59199482-59199482,0,3,10,25
20:35542957-35542957,0,4,10,24
5:6096319-6096319,0,4,10,24
7:123020486-123020486,0,4,10,24
8:65779669-65779669,0,3,10,25
21:42104281-42104281,0,3,10,25
3:180084745-180084745,0,4,10,24
1:700468-700468,3,0,7,28
3:87238904-87238904,0,3,10,25
18:47296702-47296702,2,3,8,25
7:103040310-103040310,0,4,10,24
18:15366473-15366473,0,4,10,24
X:123733524-123733524,0,3,10,25
15:85777091-85777091,4,0,6,28
1:190439423-190439423,0,4,10,24
6:84555245-84555245,0,4,10,24
5:79355548-79355548,0,4,10,24
2:148608852-148608852,0,3,10,25
11:67665879-67665879,0,3,10,25
5:25930341-25930341,0,3,10,25
2:161383044-161383044,0,4,10,24
3:184036143-184036143,0,4,10,24
11:97329804-97329804,0,3,10,25
8:3898020-3898020,0,3,10,25
3:185576014-185576014,0,3,10,25
6:68271348-68271348,0,4,10,24
11:106258759-106258759,1,2,9,26
13:113476367-113476367,0,3,10,25
9:88714223-88714223,0,3,10,25
1:143182292-143182292,0,4,10,24
5:22565166-22565166,0,4,10,24
22:43851439-43851439,0,3,10,25
4:64038797-64038797,0,3,10,25
1:187806874-187806874,0,3,10,25
6:26859342-26859342,3,0,7,28
4:35772619-35772619,0,3,10,25
18:15358928-15358928,0,3,10,25
12:109211993-109211993,2,2,8,26
2:92135177-92135177,3,0,7,28
20:59612482-59612482,0,4,10,24
8:14066624-14066624,0,3,10,25
12:73497972-73497972,0,3,10,25
4:61523361-61523361,0,4,10,24
19:53585910-53585910,0,3,10,25
18:15007393-15007393,0,4,10,24
6:46864399-46864399,3,0,7,28
1:74873349-74873349,0,4,10,24
1:58612406-58612406,0,3,10,25
12:113105359-113105359,0,3,10,25
15:23365520-23365520,0,4,10,24
4:94868977-94868977,0,3,10,25
7:13931238-13931238,0,4,10,24
8:56631754-56631754,0,4,10,24
2:135535257-135535257,0,3,10,25
1:6472073-6472073,0,3,10,25
16:27802087-27802087,0,3,10,25
21:16870263-16870263,0,3,10,25
19:54754934-54754934,0,3,10,25
2:153084439-153084439,0,3,10,25
3:150786944-150786944,0,3,10,25
9:39177935-39177935,0,4,10,24
3:127172675-127172675,0,4,10,24
6:160606837-160606837,0,4,10,24
15:78778584-78778584,0,3,10,25
X:84740850-84740850,0,3,10,25
8:113641850-113641850,0,4,10,24
2:144365997-144365997,0,4,10,24
3:116084103-116084103,1,4,9,24
6:155680655-155680655,0,3,10,25
3:4841008-4841008,0,3,10,25
2:138455830-138455830,0,3,10,25
X:136442399-136442399,0,3,10,25
9:102863367-102863367,3,0,7,28
11:84201101-84201101,0,3,10,25
8:60137019-60137019,0,4,10,24
2:228056845-228056845,0,3,10,25
17:20834638-20834638,0,4,10,24
14:72501316-72501316,0,4,10,24
7:40189981-40189981,0,4,10,24
8:37480963-37480963,0,4,10,24
2:76469209-76469209,0,4,10,24
7:86646621-86646621,0,3,10,25
6:27881880-27881880,0,3,10,25
12:75217230-75217230,0,3,10,25
8:41743956-41743956,0,4,10,24
1:176997797-176997797,0,4,10,24
12:60617940-60617940,0,3,10,25
18:14749825-14749825,0,3,10,25
6:95419119-95419119,3,0,7,28
18:24290691-24290691,0,4,10,24
8:88948513-88948513,0,3,10,25
10:36849450-36849450,0,4,10,24
2:83014286-83014286,0,4,10,24
5:157760447-157760447,0,4,10,24
13:97698275-97698275,0,3,10,25
8:23903505-23903505,0,3,10,25
X:81969731-81969731,3,0,7,28
10:53798280-53798280,0,3,10,25
7:41843117-41843117,0,4,10,24
4:100037569-100037569,0,3,10,25
6:57197464-57197464,0,3,10,25
16:6059656-6059656,0,3,10,25
5:24475664-24475664,0,4,10,24
3:162860799-162860799,0,4,10,24
1:168514601-168514601,2,1,8,27
8:3991571-3991571,0,3,10,25
5:119736017-119736017,0,3,10,25
5:154244908-154244908,0,4,10,24
14:99668465-99668465,0,3,10,25
12:97092277-97092277,0,3,10,25
1:165213450-165213450,0,3,10,25
9:72104367-72104367,2,3,8,25
16:22975514-22975514,0,3,10,25
12:78745470-78745470,0,4,10,24
16:6661690-6661690,0,3,10,25
3:178832797-178832797,0,4,10,24
1:106916209-106916209,0,3,10,25
8:92529322-92529322,0,3,10,25
14:62604874-62604874,0,4,10,24
10:26182761-26182761,0,4,10,24
6:140025924-140025924,0,3,10,25
4:105794365-105794365,0,4,10,24
17:41345820-41345820,0,3,10,25
7:125719880-125719880,0,3,10,25
1:71426895-71426895,0,3,10,25
12:55777231-55777231,0,3,10,25
2:225098902-225098902,0,3,10,25
18:69468777-69468777,0,4,10,24
8:26017846-26017846,0,4,10,24
11:60349296-60349296,0,4,10,24
14:75426502-75426502,0,4,10,24
10:78517953-78517953,0,3,10,25
8:80115244-80115244,0,3,10,25
13:94307621-94307621,0,4,10,24
11:36991249-36991249,0,3,10,25
13:46242269-46242269,0,4,10,24
X:129809172-129809172,0,3,10,25
4:130061635-130061635,0,3,10,25
19:41316925-41316925,0,4,10,24
20:22972482-22972482,4,4,6,24
2:35176124-35176124,0,4,10,24
12:58168668-58168668,0,4,10,24
13:91939293-91939293,0,3,10,25
14:44020722-44020722,3,0,7,28
16:3987867-3987867,0,4,10,24
5:105669337-105669337,0,3,10,25
2:138620175-138620175,0,3,10,25
7:76423831-76423831,3,1,7,27
21:23191228-23191228,0,3,10,25
2:8482376-8482376,0,3,10,25
13:104313746-104313746,0,4,10,24
6:170267437-170267437,0,3,10,25
2:139878834-139878834,0,3,10,25
6:47820925-47820925,0,4,10,24
16:28983762-28983762,0,3,10,25
6:13283251-13283251,0,3,10,25
8:111920911-111920911,0,3,10,25
13:57218432-57218432,0,3,10,25
4:11336683-11336683,0,3,10,25
7:103937077-103937077,0,4,10,24
15:43749396-43749396,0,4,10,24
9:98680421-98680421,0,4,10,24
8:34166938-34166938,0,4,10,24
11:8419332-8419332,0,3,10,25
16:69251784-69251784,0,3,10,25
10:66977747-66977747,0,4,10,24
5:37763959-37763959,0,3,10,25
2:159327922-159327922,0,3,10,25
6:68336521-68336521,0,3,10,25
21:20764947-20764947,0,3,10,25
7:45832208-45832208,0,3,10,25
2:49068504-49068504,0,3,10,25
X:36944602-36944602,0,3,10,25
11:74420458-74420458,0,4,10,24
7:152127759-152127759,0,3,10,25
7:49193551-49193551,0,3,10,25
7:5015859-5015859,3,0,7,28
9:73737050-73737050,0,3,10,25
14:63494051-63494051,0,3,10,25
1:35153109-35153109,0,3,10,25
5:122113370-122113370,0,3,10,25
12:109554759-109554759,0,3,10,25
1:117247910-117247910,0,4,10,24
6:170493503-170493503,0,3,10,25
9:30185343-30185343,0,4,10,24
6:39358637-39358637,0,4,10,24
2:95918857-95918857,3,7,7,21
1:228771637-228771637,0,3,10,25
11:49120206-49120206,0,4,10,24
2:13927845-13927845,0,4,10,24
2:117660059-117660059,0,4,10,24
6:62511059-62511059,0,3,10,25
11:98246503-98246503,0,3,10,25
1:30099998-30099998,0,3,10,25
12:61376568-61376568,0,4,10,24
17:60550493-60550493,1,2,9,26
6:1559144-1559144,0,3,10,25
6:89829144-89829144,0,3,10,25
7:96823941-96823941,0,3,10,25
11:108305363-108305363,0,4,10,24
5:110325550-110325550,0,3,10,25
4:80708446-80708446,0,4,10,24
7:92585089-92585089,0,4,10,24
6:73581699-73581699,0,4,10,24
16:7588068-7588068,0,3,10,25
2:130223821-130223821,0,3,10,25
10:49441327-49441327,0,3,10,25
10:126971248-126971248,0,3,10,25
8:80324170-80324170,0,3,10,25
18:44608167-44608167,0,3,10,25
6:18545024-18545024,0,3,10,25
2:84107814-84107814,0,3,10,25
4:96857297-96857297,0,3,10,25
8:56422883-56422883,0,3,10,25
5:101005439-101005439,0,4,10,24
20:59286947-59286947,0,4,10,24
1:218249198-218249198,0,4,10,24
1:81245668-81245668,0,4,10,24
14:86382305-86382305,0,3,10,25
16:60584323-60584323,0,4,10,24
2:223679167-223679167,0,3,10,25
12:40887372-40887372,0,3,10,25
10:110568076-110568076,0,3,10,25
6:85087481-85087481,0,3,10,25
14:49747659-49747659,0,4,10,24
12:11617972-11617972,4,0,6,28
6:163799875-163799875,0,3,10,25
2:30993273-30993273,0,3,10,25
7:53972258-53972258,0,4,10,24
6:164742755-164742755,0,3,10,25
1:82171587-82171587,0,3,10,25
2:181954853-181954853,1,7,9,21
3:157708852-157708852,0,4,10,24
2:188700574-188700574,0,4,10,24
1:213573010-213573010,0,3,10,25
7:80997288-80997288,0,3,10,25
9:106616397-106616397,0,3,10,25
7:56814989-56814989,0,4,10,24
2:189438646-189438646,0,3,10,25
1:145758665-145758665,3,0,7,28
11:86372163-86372163,0,4,10,24
2:62042253-62042253,0,4,10,24
18:67665127-67665127,0,4,10,24
11:127834021-127834021,0,3,10,25
1:692081-692081,3,0,7,28
3:109694420-109694420,0,4,10,24
2:5357578-5357578,0,3,10,25
3:100314459-100314459,0,4,10,24
8:65807267-65807267,0,3,10,25
2:79517073-79517073,0,3,10,25
7:62713435-62713435,2,2,8,26
8:53416936-53416936,0,3,10,25
16:89717757-89717757,0,4,10,24
10:61264788-61264788,0,3,10,25
3:126867033-126867033,0,3,10,25
4:78474873-78474873,0,3,10,25
17:68738387-68738387,0,4,10,24
7:97196651-97196651,0,4,10,24
5:52115786-52115786,2,4,8,24
20:34754667-34754667,0,3,10,25
1:48096458-48096458,0,3,10,25
3:171048975-171048975,0,3,10,25
14:22353002-22353002,0,3,10,25
12:82422596-82422596,0,3,10,25
22:35859028-35859028,0,3,10,25
5:53462024-53462024,3,0,7,28
15:33960541-33960541,0,3,10,25
6:64458171-64458171,0,3,10,25
15:39433088-39433088,0,4,10,24
4:70882737-70882737,1,2,9,26
18:19718056-19718056,3,0,7,28
14:106796223-106796223,0,3,10,25
20:32494348-32494348,0,4,10,24
16:52254094-52254094,0,3,10,25
1:185918833-185918833,0,4,10,24
4:10359096-10359096,0,3,10,25
8:23313883-23313883,0,4,10,24
17:35584633-35584633,1,2,9,26
17:62599528-62599528,0,6,10,22
5:142649047-142649047,0,4,10,24
15:87925804-87925804,0,3,10,25
2:57067189-57067189,0,4,10,24
8:1387474-1387474,0,3,10,25
14:49713246-49713246,0,4,10,24
11:130435906-130435906,1,2,9,26
6:28109105-28109105,0,3,10,25
12:127481599-127481599,0,3,10,25
6:25294113-25294113,0,3,10,25
6:41209883-41209883,2,2,8,26
7:113120091-113120091,0,3,10,25
4:12869520-12869520,0,4,10,24
10:92468239-92468239,0,4,10,24
1:36703813-36703813,0,3,10,25
18:26628783-26628783,0,3,10,25
10:68498744-68498744,0,3,10,25
11:49868265-49868265,0,4,10,24
5:80859078-80859078,0,4,10,24
13:55429514-55429514,0,3,10,25
12:82306609-82306609,0,3,10,25
1:34817950-34817950,0,4,10,24
10:23161946-23161946,0,3,10,25
8:25014527-25014527,0,3,10,25
10:96699907-96699907,2,2,8,26
2:199443545-199443545,0,4,10,24
5:110668968-110668968,0,4,10,24
6:158158633-158158633,0,3,10,25
3:179896580-179896580,0,3,10,25
16:60946138-60946138,0,4,10,24
9:132860821-132860821,0,3,10,25
X:67236680-67236680,1,2,9,26
8:35435318-35435318,0,3,10,25
5:75431774-75431774,0,4,10,24
20:59055823-59055823,0,3,10,25
12:50903385-50903385,0,4,10,24
2:169387571-169387571,0,4,10,24
2:137316873-137316873,0,3,10,25
12:17030808-17030808,0,4,10,24
18:35299280-35299280,0,3,10,25
8:65567052-65567052,0,3,10,25
2:32427244-32427244,0,4,10,24
9:110420650-110420650,0,3,10,25
8:51299609-51299609,0,3,10,25
2:176926303-176926303,0,4,10,24
9:29116716-29116716,0,3,10,25
16:49897431-49897431,0,3,10,25
1:224794886-224794886,0,4,10,24
7:14219422-14219422,0,3,10,25
8:1995243-1995243,0,4,10,24
6:96739909-96739909,0,3,10,25
7:86768318-86768318,0,3,10,25
4:30269013-30269013,0,3,10,25
6:31592134-31592134,0,3,10,25
15:48358301-48358301,0,3,10,25
8:80491702-80491702,0,4,10,24
5:2251863-2251863,0,3,10,25
10:104887575-104887575,1,3,9,25
12:102820340-102820340,0,4,10,24
3:35196600-35196600,0,3,10,25
2:82223363-82223363,0,3,10,25
22:42082756-42082756,1,4,9,24
8:96996587-96996587,0,3,10,25
7:38125798-38125798,0,3,10,25
13:67181618-67181618,0,4,10,24
9:11399079-11399079,0,4,10,24
X:133888575-133888575,0,4,10,24
4:117651799-117651799,0,3,10,25
3:39701242-39701242,0,3,10,25
5:174644555-174644555,0,3,10,25
1:197052818-197052818,0,3,10,25
1:114946791-114946791,0,3,10,25
8:93964689-93964689,0,4,10,24
15:87279132-87279132,0,3,10,25
9:15569730-15569730,3,5,7,23
12:54951429-54951429,0,4,10,24
2:205756060-205756060,0,3,10,25
1:191015670-191015670,0,3,10,25
8:25852190-25852190,0,3,10,25
6:77387403-77387403,0,4,10,24
3:166181771-166181771,0,4,10,24
16:5722223-5722223,0,3,10,25
12:59180279-59180279,0,3,10,25
6:144529295-144529295,0,4,10,24
7:68537784-68537784,0,3,10,25
3:164126577-164126577,0,4,10,24
12:29576322-29576322,0,3,10,25
2:29541645-29541645,0,3,10,25
1:154657611-154657611,0,3,10,25
4:67346416-67346416,0,4,10,24
1:161033581-161033581,0,3,10,25
7:77617235-77617235,1,2,9,26
14:36905427-36905427,0,3,10,25
5:104883998-104883998,0,3,10,25
9:38790029-38790029,3,0,7,28
6:111040811-111040811,0,3,10,25
16:70976403-70976403,1,2,9,26
6:57171322-57171322,0,3,10,25
7:82505341-82505341,0,4,10,24
9:120062318-120062318,0,3,10,25
18:14261585-14261585,2,1,8,27
14:96835511-96835511,0,4,10,24
7:113614319-113614319,0,3,10,25
2:177310488-177310488,0,4,10,24
8:139007391-139007391,0,4,10,24
2:84520872-84520872,0,3,10,25
6:118239040-118239040,0,3,10,25
3:192331994-192331994,0,4,10,24
1:189011008-189011008,0,4,10,24
5:63401990-63401990,0,3,10,25
4:2887503-2887503,2,1,8,27
4:18218221-18218221,0,3,10,25
5:166253081-166253081,0,3,10,25
5:76527536-76527536,0,3,10,25
8:94894594-94894594,0,4,10,24
22:24298432-24298432,0,5,10,23
18:14794316-14794316,0,3,10,25
11:24385082-24385082,0,3,10,25
5:23518015-23518015,0,3,10,25
X:35864196-35864196,0,3,10,25
14:20742750-20742750,0,3,10,25
4:21555477-21555477,0,3,10,25
6:77312057-77312057,0,4,10,24
8:117825875-117825875,0,3,10,25
9:80375468-80375468,2,2,8,26
9:12745698-12745698,0,3,10,25
2:6475410-6475410,0,4,10,24
5:5454155-5454155,0,3,10,25
16:18610031-18610031,0,3,10,25
10:61738021-61738021,0,3,10,25
10:62220843-62220843,0,3,10,25
13:58055415-58055415,0,3,10,25
13:36651683-36651683,0,3,10,25
9:42036544-42036544,2,1,8,27
8:141027842-141027842,0,3,10,25
7:123085824-123085824,1,5,9,23
8:132579663-132579663,0,4,10,24
2:180880771-180880771,0,4,10,24
1:73541949-73541949,0,4,10,24
7:107626778-107626778,0,4,10,24
9:10228340-10228340,0,3,10,25
8:116125059-116125059,0,3,10,25
18:20197981-20197981,0,3,10,25
2:186849620-186849620,0,3,10,25
5:99560816-99560816,0,4,10,24
6:168618696-168618696,0,4,10,24
7:74522045-74522045,0,4,10,24
2:67645763-67645763,0,3,10,25
X:119949044-119949044,3,4,7,24
1:182224599-182224599,0,3,10,25
12:118662788-118662788,0,3,10,25
22:21059862-21059862,3,0,7,28
4:18278096-18278096,0,4,10,24
7:149188659-149188659,1,3,9,25
13:97009959-97009959,0,4,10,24
3:35782572-35782572,0,3,10,25
X:56315073-56315073,0,3,10,25
13:45210338-45210338,0,3,10,25
5:102871434-102871434,0,3,10,25
9:12095247-12095247,0,3,10,25
1:30191325-30191325,0,3,10,25
10:37590421-37590421,0,3,10,25
8:98888870-98888870,0,4,10,24
X:131572765-131572765,0,4,10,24
6:153217361-153217361,0,4,10,24
19:3265520-3265520,0,3,10,25
3:50293154-50293154,0,3,10,25
7:48894829-48894829,1,2,9,26
20:59149285-59149285,0,4,10,24
21:14733040-14733040,0,3,10,25
5:415146-415146,0,3,10,25
10:45650052-45650052,0,3,10,25
10:72183563-72183563,0,3,10,25
X:121783832-121783832,0,3,10,25
2:221265022-221265022,0,4,10,24
11:121921585-121921585,0,3,10,25
14:82080827-82080827,0,3,10,25
11:62436638-62436638,2,2,8,26
15:31952436-31952436,1,2,9,26
18:56544948-56544948,0,3,10,25
20:12927419-12927419,0,3,10,25
1:248323001-248323001,0,3,10,25
6:77299104-77299104,0,3,10,25
11:86521429-86521429,0,3,10,25
1:56669925-56669925,0,3,10,25
6:4453814-4453814,0,3,10,25
11:97652142-97652142,0,3,10,25
6:19327960-19327960,0,4,10,24
10:128369741-128369741,0,3,10,25
X:36876797-36876797,0,3,10,25
6:71935816-71935816,0,3,10,25
21:23240846-23240846,0,4,10,24
12:127371957-127371957,0,4,10,24
4:63387446-63387446,0,3,10,25
2:174538365-174538365,0,3,10,25
19:21015878-21015878,0,3,10,25
1:200286020-200286020,0,4,10,24
10:89887267-89887267,0,3,10,25
8:4423109-4423109,0,4,10,24
5:50837160-50837160,0,4,10,24
10:85010052-85010052,0,4,10,24
12:111308163-111308163,0,4,10,24
20:46785585-46785585,0,3,10,25
11:49688536-49688536,1,2,9,26
16:72960728-72960728,0,3,10,25
18:23122379-23122379,0,3,10,25
3:167792170-167792170,0,3,10,25
8:49329989-49329989,0,4,10,24
4:157599852-157599852,0,3,10,25
9:138922818-138922818,0,3,10,25
18:32815074-32815074,0,3,10,25
X:110279729-110279729,0,4,10,24
3:166425748-166425748,0,3,10,25
10:93784824-93784824,0,4,10,24
2:202955079-202955079,0,3,10,25
10:16659855-16659855,0,3,10,25
1:67625167-67625167,0,3,10,25
5:110361318-110361318,0,3,10,25
X:129362229-129362229,0,3,10,25
14:80157945-80157945,0,3,10,25
20:49805970-49805970,0,3,10,25
6:5986515-5986515,0,3,10,25
1:15778268-15778268,0,3,10,25
4:137312635-137312635,0,3,10,25
14:98152592-98152592,0,3,10,25
6:114954210-114954210,0,4,10,24
16:9263038-9263038,0,4,10,24
3:88260861-88260861,0,3,10,25
4:113510197-113510197,0,3,10,25
1:177169704-177169704,0,3,10,25
14:25152889-25152889,0,3,10,25
5:161894869-161894869,0,3,10,25
1:76020042-76020042,0,3,10,25
5:62828427-62828427,0,3,10,25
3:58594242-58594242,0,3,10,25
X:140922202-140922202,0,3,10,25
X:124937877-124937877,0,3,10,25
11:43077141-43077141,0,3,10,25
22:28928378-28928378,1,3,9,25
2:191438978-191438978,0,4,10,24
1:219521669-219521669,0,3,10,25
11:79843109-79843109,0,3,10,25
6:26179816-26179816,0,4,10,24
4:94710149-94710149,0,3,10,25
8:111972735-111972735,0,4,10,24
3:85427778-85427778,0,3,10,25
6:136717832-136717832,0,4,10,24
15:20454831-20454831,1,2,9,26
2:152736615-152736615,0,3,10,25
3:137379519-137379519,0,3,10,25
12:72922663-72922663,0,3,10,25
19:55209331-55209331,2,1,8,27
10:15492087-15492087,0,3,10,25
13:82239238-82239238,0,3,10,25
6:78136622-78136622,0,3,10,25
18:41605193-41605193,0,3,10,25
10:92179867-92179867,0,3,10,25
9:72474690-72474690,0,3,10,25
4:86250725-86250725,0,3,10,25
2:31862010-31862010,0,4,10,24
5:144575522-144575522,0,4,10,24
18:68464906-68464906,0,3,10,25
22:39673172-39673172,0,3,10,25
9:77268613-77268613,0,3,10,25
14:28843198-28843198,0,3,10,25
5:1584344-1584344,0,3,10,25
13:63173989-63173989,0,4,10,24
20:52297216-52297216,0,4,10,24
7:82136211-82136211,0,4,10,24
12:128175266-128175266,0,3,10,25
3:168689738-168689738,0,3,10,25
8:50331602-50331602,0,3,10,25
1:117734240-117734240,0,3,10,25
7:49582885-49582885,0,3,10,25
20:62125856-62125856,0,3,10,25
13:56422005-56422005,0,3,10,25
3:159818557-159818557,0,3,10,25
9:42036701-42036701,3,0,7,28
20:45519490-45519490,0,4,10,24
2:154955540-154955540,0,3,10,25
1:43202782-43202782,0,4,10,24
13:22346319-22346319,0,3,10,25
8:121903876-121903876,0,3,10,25
1:241189747-241189747,0,3,10,25
8:49095871-49095871,0,4,10,24
4:23922397-23922397,0,4,10,24
5:117683237-117683237,0,3,10,25
8:76207967-76207967,0,3,10,25
7:109304804-109304804,0,3,10,25
9:113945984-113945984,0,4,10,24
8:140344992-140344992,0,3,10,25
1:73747444-73747444,0,3,10,25
18:23728913-23728913,0,3,10,25
4:121538861-121538861,0,3,10,25
16:90216019-90216019,4,0,6,28
11:4323794-4323794,0,3,10,25
3:109294103-109294103,0,3,10,25
9:123915341-123915341,0,4,10,24
8:15150279-15150279,0,4,10,24
5:80915347-80915347,1,2,9,26
12:2934364-2934364,0,4,10,24
13:69015516-69015516,0,3,10,25
X:133096258-133096258,0,3,10,25
12:124343912-124343912,0,4,10,24
